
// OUTPUT - 5
&&NEWSITEMSTEXT, 0
1534, "Improved Military Logistics", "Research Tech", "To help improve our battlefield efficiency, since war seems inevitable, we should research the Warfare Tech - Improved Military Logistics.  This will help improve the supply lines to our troops by benefiting our infrastructure (Prerequisite for this is Society Tech - Commercial Food Processing).", "", "", "", "", "", ""
1535, "Anti-Comintern Pact Expanded", "Italy To Join¶", "Germany has used their influence to convince Italy to sign on to the Anti-Comintern.  It would seem that the more signatories we can attract, the better.", "This is encouraging.  We need to align more nations against Russia.", "Rejecting Italy's participation in this pact may create unnecessary stress on our relations with Germany.", "", "", "", ""
1536, "Russian Border Skirmish", "Battle of Lake Khasan", "While we are not in a state of war with the Soviet Union, skirmishes continue to occur along our border in Manchukuo.  Most recently there was a small battle at Lake Khasan not far from Vladivostok.  It appears we are not able to match the Soviet strength in that area and that China would be the more advisable target for our expansion.", "", "", "", "", "", ""
1537, "State Department Achievement", "Germany Recognizes Manchukuo", "In what is obviously a diplomatic gesture towards improving relations with us and distancing themselves from China, Germany has officially recognized our colonization of Manchukuo.  We may wish to work on improving this relationship even further.", "", "", "", "", "", ""
1538, "Hainan Island Operation", "Launch Significant Invasion¶", "As part of our efforts to blockade China from receiving any aid, it is important that we capture and hold the Hainan Island.  We should deploy at least 30 Battalions to the Island to ensure that it is well defended.", "Success", "Fail", "", "", "", ""
1539, "Invasion successful", "Hainan now under Japanese Control", "There are reports of some small resistance still, but the Island is now ours.  We should plan to use it as a staging ground against Southern China and to establish a significant air force there.", "", "", "", "", "", ""
154, "Import Price Escalating ", "Import Price on %s Increasing Dramatically", "The price on %s is getting very high on the international market.  We should look for ways to cut back on our demand so that our economy is not so badly impacted.", "", "", "Acknowledge", "", "", ""
1540, "Intel Assessment", "Report from Khalkhin Gol", "While the incident here did lead to open warfare, it is clear that the Soviet forces are more numerous and powerful than what we can currently field as a land force.  Our expansion should aim to territories in the South and the Pacific instead.", "", "", "", "", "", ""
1541, "Molotov-Ribbentrop Pact", "German-Russian Non Aggression Treaty", "Surprisingly, the Germans have signed a Non Aggression Treaty with Moscow.  Considering Hitler's absolute hatred of Stalin and his fellow communists, we can only assume that this is nothing more than a delaying tactic on Germany's part.  Regardless, it does guarantee Russia that Germany will not come to our aid in any conflict we have with Russia so it does reinforce our decision to look to the south for expansion and not the north.  At least not yet...", "", "", "", "", "", ""
1542, "War in Europe", "Germany Invades Poland", "While this was not unexpected, the timing of the German invasion of Poland has seemed to surprise many countries in Europe.  So far there has been little reaction and the British and French are not rushing to Poland's aid.  Hitler has seemed to gauge European reluctance towards another war quite accurately.", "", "", "", "", "", ""
1543, "War In Europe Expands", "Germany Invades France", "It appears that the Europeans will be distracted even more...  Herr Hitler has launched what appears to be a very successful attack against France and this will obviously force the British as well to focus their resources on Europe and pay less attention to South East Asia.  An opportunity has certainly presented itself!", "", "", "", "", "", ""
1544, "Tripartite Pact", "Sign Pact with German and Italy", "This represents an opportunity to align ourselves with the new power houses of Europe.  It will mean abundant trade opportunities, especially when we achieve all our goals in the Southern Resource Area.  It will add an additional barrier to repairing our diplomatic relations with the Americans, but they are likely beyond repair anyways.", "Congratulations on signing the Tripartite Pact.", "By not signing the Tripartite Pact, we remain alone and reliant on no other nations.", "", "", "", ""
1545, "Tripartite Pact Signed", "Alliances Created", "The signing of the Tripartite Pact has Created Formal Alliances between Germany, Italy and us.  Our futures are now largely intertwined...", "", "", "", "", "", ""
1546, "Diplomatic Recommendation", "Soviet-Japanese Neutrality Pact ", "After further reviewing our best possible course of action, our analysts recommend that we sign this agreement with Russia.  It will free us to concentrate on other easier targets for our expansion.", "This might annoy Germany a bit, but it will certainly allow us to concentrate on the more vulnerable China without worrying about Russian intervention.", "Not reaching an agreement at this time with Russia, does leave us vulnerable to their intervention should we attack China.", "", "", "", ""
1547, "", "", "", "", "", "", "", "", ""
1548, "Strategic Situation Report", "Limited Choices", "Our current situation is somewhat bleak.  We continue to be bogged down in China and they seem content to trade land rather than risk a decisive battle.  Not only that, but with the trade restrictions imposed upon us by America, our ability to wage war is finite.¶¶Germany and Italy are creating chaos in Europe and it is time we used that distraction to further our own agenda and create the Greater East Asia CPS.  The American will certainly oppose us, so we should plan the best way of handling them...", "", "", "", "", "", ""
1549, "Germany Attacks Russia", "Launches Operation Barbarossa", "The Germans certainly do not lack ambition.  Hitler has finally released his troops against Stalin.  While many might debate the wisdom of this action, it certainly does provide increase the pressure against the Allied Forces in Europe and hopefully keep them from reacting as quickly in Asia.", "", "", "", "", "", ""
155, "Satellite Production Halted", "Treasury Shortage Halts Satellite Production", "Our satellite production is currently on hold due to a shortage of funds.  It will be continued when we again have the money.", "", "", "Acknowledge", "", "", ""
1550, "Reinforce Indochina", "Stage Forces Near Saigon¶", "It is time to proceed with our plans to capture the Southern Prosperity Zone.  We previously did not occupy Indochina due to the possible repercussions from the British and Americans, but now is the time to mobilize.  From there we can strike at Burma, Malaya, Singapore, the Philippines, the East Indies and beyond.  We will need to rally a large force to Indochina.  Begin by deploying 60 Land Battalions and 20 Air Squadrons to the Saigon Battlezone.", "Success", "Fail", "", "", "", ""
